file,status,error,bank_name,year,presence,tokens,out_tokens
y6report_1121229_DACOTAH-BKS_2021,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1966415) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2022,passed,,"Dacotah Banks, Inc.",2022,both,908273,3118
y6report_1121229_DACOTAH-BKS_2023,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1461378) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DACOTAH-BKS_2024,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (2229036) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121229_DAKOTAH-BKS_2017,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1995917) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121237_FIRST-BOTTINEAU_2013,passed,,"FIRST BOTTINEAU, INC.",2012,both,3269,949
y6report_1121340_OTTO-BREMER-TR_2013,passed,,Otto Bremer Foundation,2013,both,245481,3250
y6report_1121340_OTTO-BREMER-TR_2014,passed,,Otto Bremer Foundation,2014,both,432055,3479
y6report_1121340_OTTO-BREMER-TR_2015,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'model': 'gemini-2.0-flash', 'location': 'global'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '49s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121340_OTTO-BREMER-TR_2016,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '49s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121340_OTTO-BREMER-TR_2017,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '47s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121340_OTTO-BREMER-TR_2018,failed,Invalid \escape: line 86 column 59 (char 4228),,,,,
y6report_1121340_OTTO-BREMER-TR_2019,passed,,Otto Bremer Trust,2019,both,322006,3936
y6report_1121340_OTTO-BREMER-TR_2020,passed,,Otto Bremer Trust,2020,insiders,345997,4009
y6report_1121340_OTTO-BREMER-TR_2021,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1121340_OTTO-BREMER-TR_2022,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (1419607) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121340_OTTO-BREMER-TR_2023,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (2273681) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
y6report_1121724_NORTHERN-FC_2013,passed,,NORTHERN FINANCIAL CORPORATION,2013,both,43519,865
y6report_1121724_NORTHERN-FC_2014,passed,,Northern Financial Corporation,2014,both,15976,862
y6report_1121724_NORTHERN-FC_2015,passed,,NORTHERN FINANCIAL CORPORATION,2015,both,15196,864
y6report_1121724_NORTHERN-FC_2016,passed,,Northern Financial Corporation,2016,both,5047,863
y6report_1121724_NORTHERN-FC_2017,passed,,Northern Financial Corporation,2017,both,25306,880
y6report_1121724_NORTHERN-FC_2018,passed,,Northern Financial Corporation,2018,both,12381,707
y6report_1121724_NORTHERN-FC_2019,passed,,Northern Financial Corporation,2019,both,10726,750
y6report_1121724_NORTHERN-FC_2020,passed,,Northern Financial Corporation,2020,both,13344,721
y6report_1121724_NORTHERN-FC_2021,passed,,Northern Financial Corporation,2021,both,9267,749
y6report_1121724_NORTHERN-FC_2022,passed,,Northern Financial Corporation,2022,both,15288,250
y6report_1121724_NORTHERN-FC_2023,passed,,Northern Financial Corporation,2023,none,2367,61
y6report_1121724_NORTHERN-FC_2024,passed,,NORTHERN FINANCIAL CORPORATION,2024,none,2611,62
y6report_1121788_FIDELITY-CORP_2013,passed,,FIDELITY CORPORATION,2013,both,26071,840
y6report_1121788_FIDELITY-CORP_2014,passed,,Fidelity Corporation,2014,both,4822,804
y6report_1121788_FIDELITY-CORP_2015,passed,,Fidelity Corporation,2015,both,4415,812
y6report_1121788_FIDELITY-CORP_2016,failed,Invalid \escape: line 75 column 73 (char 2202),,,,,
y6report_1121788_FIDELITY-CORP_2017,passed,,Fidelity Corporation,2017,both,4124,1703
y6report_1121788_FIDELITY-CORP_2018,passed,,Fidelity Corporation,2018,both,5331,1567
y6report_1121788_FIDELITY-CORP_2019,failed,Invalid \escape: line 88 column 72 (char 2312),,,,,
y6report_1121788_FIDELITY-CORP_2020,failed,Invalid \escape: line 88 column 72 (char 2241),,,,,
y6report_1121788_FIDELITY-CORP_2021,failed,Invalid \escape: line 74 column 72 (char 1882),,,,,
y6report_1121788_FIDELITY-CORP_2022,passed,,Fidelity Corporation,2022,insiders,2904,1125
y6report_1121788_FIDELITY-CORP_2023,passed,,Fidelity Corporation,2023,insiders,4343,179
y6report_1121881_ELLINGSON-CORP_2013,passed,,ELLINGSON CORPORATAION,2013,both,5090,3044
y6report_1121881_ELLINGSON-CORP_2014,passed,,ELLINGSON CORPORATION,2014,both,15586,3302
y6report_1121881_ELLINGSON-CORP_2015,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1121881_ELLINGSON-CORP_2016,passed,,ELLINGSON CORPORATION,2016,both,43705,3271
y6report_1121881_ELLINGSON-CORP_2017,passed,,Ellingson Corporation,2017,both,15951,3472
y6report_1121881_ELLINGSON-CORP_2018,passed,,Ellingson Corporation,2018,both,17372,3440
y6report_1121881_ELLINGSON-CORP_2019,passed,,Ellingson Corporation,2019,both,5563,3428
y6report_1121881_ELLINGSON-CORP_2020,passed,,Ellingson Corporation,2020,both,16403,3240
y6report_1121881_ELLINGSON-CORP_2021,passed,,ELLINGSON CORPORATION,2021,both,5355,3015
y6report_1121881_ELLINGSON-CORP_2022,passed,,Ellingson Corporation,2022,both,2821,793
y6report_1121881_ELLINGSON-CORP_2023,passed,,Ellingson Corporation,2023,both,14145,2107
y6report_1121957_KIESTER-INVESTMENTS_2013,passed,,"Kiester Investments, Inc.",2013,both,4953,1105
y6report_1121957_KIESTER-INVESTMENTS_2014,passed,,"Kiester Investments, Inc.",2014,both,15370,1142
y6report_1121957_KIESTER-INVESTMENTS_2015,passed,,"Kiester Investments, Inc.",2015,both,4493,1122
y6report_1121957_KIESTER-INVESTMENTS_2016,passed,,"Kiester Investments, Inc.",2016,both,4422,1136
y6report_1121957_KIESTER-INVESTMENTS_2017,passed,,"Kiester Investments, Inc.",2017,both,4869,1113
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2013,passed,,"Citizens Bancshares of Hutchinson, Inc.",2013,both,24715,1574
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2014,passed,,"Citizens Bancshares of Hutchinson, Inc.",2014,both,16161,1382
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2015,passed,,"Citizens Bancshares of Hutchinson, Inc.",2015,both,7150,1376
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2016,passed,,"Citizens Bancshares of Hutchinson, Inc.",2016,both,5226,2033
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2017,passed,,"Citizens Bancshares of Hutchinson, Inc.",2017,both,15275,1379
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2018,passed,,"Citizens Bancshares of Hutchinson, Inc.",2018,both,26139,1371
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2019,passed,,"Citizens Bancshares of Hutchinson, Inc.",2019,both,5092,1477
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2020,passed,,"Citizens Bancshares of Hutchinson, Inc.",2020,both,23636,1687
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2021,passed,,"Citizens Bancshares of Hutchinson, Inc.",2021,both,15603,1780
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2022,passed,,"Citizens Bancshares of Hutchinson, Inc",2022,insiders,25818,979
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2023,passed,,"Citizens Bancshares of Hutchinson, Inc.",2023,both,3448,1078
y6report_1121966_CITIZENS-BSHRS-OF-HUTCHINSON_2024,passed,,"CITIZENS BANCSHARES OF HUTCHINSON, INC.",2024,securities,3680,772
y6report_1121984_MPS-INVESTMENT-CO_2013,passed,,MPS INVESTMENT COMPANY,2013,both,16012,1605
y6report_1121984_MPS-INVESTMENT-CO_2014,passed,,MPS Investment Company,2014,both,6558,1502
y6report_1121984_MPS-INVESTMENT-CO_2015,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1121984_MPS-INVESTMENT-CO_2016,passed,,MPS Investment Company,2016,both,4932,1497
y6report_1121984_MPS-INVESTMENT-CO_2017,passed,,MPS Investment Company,2017,both,5421,1512
y6report_1121984_MPS-INVESTMENT-CO_2018,passed,,MPS Investment Company,2018,both,3419,1074
y6report_1121984_MPS-INVESTMENT-CO_2019,passed,,MPS Investment Company,2019,both,3278,937
y6report_1121984_MPS-INVESTMENT-CO_2020,passed,,MPS Investment Company,2020,both,16841,967
y6report_1121984_MPS-INVESTMENT-CO_2021,passed,,MPS INVESTMENT COMPANY,2021,both,15994,795
y6report_1121984_MPS-INVESTMENT-CO_2022,passed,,MPS Investment Company,2022,none,2381,61
y6report_1121984_MPS-INVESTMENT-CO_2023,passed,,MPS Investment Company,2023,none,15562,61
y6report_1121984_MPS-INVESTMENT-CO_2024,passed,,MPS INVESTMENT COMPANY,2024,none,2509,61
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2013,passed,,Guaranty Development Company,2013,both,7345,751
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2014,passed,,Guaranty Development Company,2014,both,14835,748
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2015,passed,,Guaranty Development Company,2015,both,16320,742
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2016,passed,,Guaranty Development Company,2016,both,5950,605
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2017,passed,,Guaranty Development Co.,2017,both,27350,428
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2018,passed,,GUARANTY DEVELOPMENT COMPANY,2018,both,36400,741
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2019,passed,,Guaranty Development Co.,2019,both,5028,601
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2020,passed,,"Gauranty Development Co,",2020,both,4567,520
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2021,passed,,Guaranty Development Co,2021,both,13442,513
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2022,passed,,Guaranty Development Company,2022,none,10670,62
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2023,passed,,Guaranty Development Company,2023,insiders,10823,179
y6report_1121993_GUARANTY-DEVELOPMENT-CO_2024,passed,,GUARANTY DEVELOPMENT COMPANY,2024,none,2505,62
y6report_1122048_AUGUSTA-FC_2013,passed,,Augusta Financial Corporation,2013,both,13314,932
y6report_1122048_AUGUSTA-FC_2014,passed,,Augusta Financial Corporation,2014,both,16043,848
y6report_1122048_AUGUSTA-FC_2015,passed,,Augusta Financial Corporation,2015,both,12333,1051
y6report_1122048_AUGUSTA-FC_2016,passed,,Augusta Financial Corporation,2016,both,7020,1053
y6report_1122048_AUGUSTA-FC_2017,passed,,Augusta Financial Corporation,2017,both,5038,1136
y6report_1122048_AUGUSTA-FC_2018,passed,,AUGUSTA FINANCIAL CORPORATION,2018,both,5191,1635
y6report_1122057_JORGENSON-HC_2013,passed,,Jorgenson Holding Company,2013,both,13527,1199
y6report_1122057_JORGENSON-HC_2014,passed,,Jorgenson Holding Company,2014,both,5172,1232
y6report_1122057_JORGENSON-HC_2015,failed,Invalid \escape: line 69 column 49 (char 1816),,,,,
y6report_1122057_JORGENSON-HC_2016,failed,Invalid \escape: line 69 column 49 (char 1811),,,,,
y6report_1122057_JORGENSON-HC_2017,failed,Invalid \escape: line 69 column 49 (char 1813),,,,,
y6report_1122057_JORGENSON-HC_2018,failed,Invalid \escape: line 69 column 49 (char 1818),,,,,
y6report_1122057_JORGENSON-HC_2019,passed,,Jorgenson Holding Company,2019,both,13666,1592
y6report_1122057_JORGENSON-HC_2020,passed,,Jorgenson Holding Company,2020,both,14277,1612
y6report_1122057_JORGENSON-HC_2021,passed,,Jorgenson Holding Company,2021,both,13881,1666
y6report_1122057_JORGENSON-HC_2022,passed,,Jorgenson Holding Company,2022,insiders,12204,184
y6report_1122057_JORGENSON-HC_2023,failed,Invalid \escape: line 14 column 49 (char 825),,,,,
y6report_1122057_JORGENSON-HC_2024,passed,,JORGENSON HOLDING COMPANY,2024,both,3945,1000
y6report_1122066_CITIZENS-INVESTMENT-CO_2013,passed,,"Citizens Investment Company, Inc.",2013,both,28330,495
y6report_1122066_CITIZENS-INVESTMENT-CO_2014,passed,,Citizens Investment Company,2014,both,6849,626
y6report_1122066_CITIZENS-INVESTMENT-CO_2015,passed,,Citizens Investment Company,2015,both,27495,1087
y6report_1122066_CITIZENS-INVESTMENT-CO_2016,passed,,Citizens Investment Company,2016,both,32208,1465
y6report_1122066_CITIZENS-INVESTMENT-CO_2017,passed,,"CITIZENS INVESTMENT CO., INC.",2017,both,15502,1450
y6report_1122066_CITIZENS-INVESTMENT-CO_2018,passed,,Citizens Investment Co.,2018,both,3769,1311
y6report_1122066_CITIZENS-INVESTMENT-CO_2019,passed,,Citizens Investment Company,2019,both,3974,1470
y6report_1122075_INTER-MOUNTAIN-BC_2013,passed,,"Inter-Mountain Bancorp., Inc.",2013,both,34834,5948
y6report_1122075_INTER-MOUNTAIN-BC_2014,passed,,"Inter-Mountain Bancorp., Inc.",2014,both,6639,5453
y6report_1122075_INTER-MOUNTAIN-BC_2015,passed,,"Inter-Mountain Bancorp., Inc.",2015,both,7693,6498
y6report_1122075_INTER-MOUNTAIN-BC_2016,passed,,"Inter-Mountain Bancorp., Inc.",2016,both,7320,6112
y6report_1122075_INTER-MOUNTAIN-BC_2017,passed,,"Inter-Mountain Bancorp., Inc.",2017,both,7001,6138
y6report_1122132_BELLINGHAM-CORP_2013,passed,,Bellingham Corporation,2013,both,13339,1078
y6report_1122132_BELLINGHAM-CORP_2014,passed,,Bellingham Corporation,2014,both,13594,1047
y6report_1122132_BELLINGHAM-CORP_2015,passed,,Bellingham Corporation,2015,both,4727,1050
y6report_1122132_BELLINGHAM-CORP_2016,passed,,Bellingham Corporation,2016,both,4778,1039
y6report_1122132_BELLINGHAM-CORP_2017,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1122132_BELLINGHAM-CORP_2018,passed,,Bellingham Corporation,2018,both,4725,1061
y6report_1122132_BELLINGHAM-CORP_2019,passed,,BELLINGHAM CORPORATION,2019,both,13236,1073
y6report_1122132_BELLINGHAM-CORP_2020,passed,,Bellingham Corporation,2020,both,14246,1042
y6report_1122132_BELLINGHAM-CORP_2021,passed,,Bellingham Corporation,2021,both,4417,845
y6report_1122132_BELLINGHAM-CORP_2022,passed,,Bellingham Corporation,2022,none,2723,61
y6report_1122132_BELLINGHAM-CORP_2023,passed,,Bellingham Corporation,2023,insiders,13507,181
y6report_1122132_BELLINGHAM-CORP_2024,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1122178_F-AND-M-FNCL-SVC_2013,passed,,"F & M Financial Services, Inc.",2013,both,12776,566
y6report_1122178_F-AND-M-FNCL-SVC_2014,passed,,"F & M Financial Services, Inc.",2014,both,36526,558
y6report_1122178_F-AND-M-FNCL-SVC_2015,passed,,"F & M Financial Services, Inc.",2015,both,15603,540
y6report_1122178_F-AND-M-FNCL-SVC_2016,passed,,"F & M Financial Services, Inc.",2016,both,15068,580
y6report_1122178_F-AND-M-FNCL-SVC_2017,passed,,"F & M Financial Services, Inc.",2017,both,14692,581
y6report_1122178_F-AND-M-FNCL-SVC_2018,passed,,"F & M Financial Services, Inc.",2018,both,4959,566
y6report_1122178_F-AND-M-FNCL-SVC_2019,passed,,"F & M Financial Services, Inc.",2019,both,5331,577
y6report_1122178_F-AND-M-FNCL-SVC_2020,passed,,"F & M Financial Services, Inc.",2020,both,4694,558
y6report_1122178_F-AND-M-FNCL-SVC_2021,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
y6report_1122178_F-AND-M-FNCL-SVC_2022,passed,,"F & M Financial Services, Inc.",2022,none,3117,65
y6report_1122178_F-AND-M-FNCL-SVC_2023,passed,,"F & M Financial Services, Inc.",2023,none,2905,65
y6report_1122178_F-AND-M-FNCL-SVC_2024,passed,,"F & M FINANCIAL SERVICES, INC.",2024,none,2617,65
y6report_1122217_JAN-MAR-CORP_2013,passed,,Jan-Mar Corp.,2013,both,14514,523
y6report_1122217_JAN-MAR-CORP_2014,failed,Invalid \escape: line 33 column 54 (char 703),,,,,
y6report_1122217_JAN-MAR-CORP_2015,failed,Invalid \escape: line 33 column 54 (char 703),,,,,
y6report_1122217_JAN-MAR-CORP_2016,failed,Invalid \escape: line 33 column 54 (char 703),,,,,
y6report_1122217_JAN-MAR-CORP_2017,failed,Invalid \escape: line 33 column 54 (char 703),,,,,
y6report_1122217_JAN-MAR-CORP_2018,failed,Invalid \escape: line 33 column 54 (char 703),,,,,
y6report_1122217_JAN-MAR-CORP_2019,failed,Invalid \escape: line 33 column 57 (char 711),,,,,
y6report_1122217_JAN-MAR-CORP_2020,passed,,Jan-Mar Corp,2020,both,4220,535
y6report_1122217_JAN-MAR-CORP_2021,failed,Invalid \escape: line 33 column 57 (char 717),,,,,
y6report_1122217_JAN-MAR-CORP_2022,passed,,Jan-Mar Corp,2022,both,3109,534
y6report_1122217_JAN-MAR-CORP_2023,passed,,Jan-Mar Corp.,2023,both,2729,534
y6report_1122217_JAN-MAR-CORP_2024,passed,,JAN-MAR CORP.,2024,both,4029,522
y6report_1122301_ANTLER-LAND-CO_2013,passed,,Antler Land Company,2013,both,15738,1112
y6report_1122301_ANTLER-LAND-CO_2014,passed,,Antler Land Company,2014,both,7987,1025
y6report_1122301_ANTLER-LAND-CO_2015,passed,,Antler Land Company,2015,both,14211,1034
y6report_1122301_ANTLER-LAND-CO_2016,passed,,Antler Land Company,2016,both,4710,1004
y6report_1122301_ANTLER-LAND-CO_2017,passed,,Antler Land Company,2017,both,13117,1023
y6report_1122301_ANTLER-LAND-CO_2018,passed,,Antler Land Company,2018,both,13967,1027
y6report_1122301_ANTLER-LAND-CO_2019,passed,,ANTLER LAND COMPANY,2019,both,13698,1023
y6report_1122301_ANTLER-LAND-CO_2020,passed,,ANTLER LAND COMPANY,2020,both,4828,1024
y6report_1122301_ANTLER-LAND-CO_2021,passed,,Antler Land Company,2021,both,4745,998
y6report_1122310_BRIDGER-CO_2013,passed,,The Bridger Company,2013,both,5400,1551
